date,time,count,bin,Location (recode),Location-id (recode)
27,11:29:39,7,69,SIS B1 IS Lounge,SISB1
27,11:31:41,10,70,SIS B1 IS Lounge,SISB1
27,11:33:42,1,70,SIS B1 IS Lounge,SISB1
27,11:33:43,7,70,SIS B1 IS Lounge,SISB1
27,11:35:44,9,70,SIS B1 IS Lounge,SISB1
27,11:37:46,8,70,SIS B1 IS Lounge,SISB1
27,11:39:47,1,70,SIS B1 IS Lounge,SISB1
27,11:39:48,6,70,SIS B1 IS Lounge,SISB1
27,11:41:49,7,71,SIS B1 IS Lounge,SISB1
27,11:43:51,6,71,SIS B1 IS Lounge,SISB1
27,11:45:53,9,71,SIS B1 IS Lounge,SISB1
27,11:47:55,17,71,SIS B1 IS Lounge,SISB1
27,11:49:57,12,71,SIS B1 IS Lounge,SISB1
27,11:51:58,15,72,SIS B1 IS Lounge,SISB1
27,11:54:00,8,72,SIS B1 IS Lounge,SISB1
27,11:56:02,7,72,SIS B1 IS Lounge,SISB1
27,11:58:04,17,72,SIS B1 IS Lounge,SISB1
27,12:00:05,16,73,SIS B1 IS Lounge,SISB1
27,12:02:07,20,73,SIS B1 IS Lounge,SISB1
27,12:04:09,12,73,SIS B1 IS Lounge,SISB1
27,12:06:11,10,73,SIS B1 IS Lounge,SISB1
27,12:08:13,13,73,SIS B1 IS Lounge,SISB1
27,12:10:15,10,74,SIS B1 IS Lounge,SISB1
27,12:12:17,18,74,SIS B1 IS Lounge,SISB1
27,12:14:19,14,74,SIS B1 IS Lounge,SISB1
27,12:16:21,18,74,SIS B1 IS Lounge,SISB1
27,12:18:23,15,74,SIS B1 IS Lounge,SISB1
27,12:20:25,8,75,SIS B1 IS Lounge,SISB1
27,12:22:27,14,75,SIS B1 IS Lounge,SISB1
27,12:24:29,13,75,SIS B1 IS Lounge,SISB1
27,12:26:31,14,75,SIS B1 IS Lounge,SISB1
27,12:28:33,12,75,SIS B1 IS Lounge,SISB1
27,12:30:34,1,76,SIS B1 IS Lounge,SISB1
27,12:30:35,13,76,SIS B1 IS Lounge,SISB1
27,12:32:37,11,76,SIS B1 IS Lounge,SISB1
27,12:34:39,11,76,SIS B1 IS Lounge,SISB1
27,12:36:42,8,76,SIS B1 IS Lounge,SISB1
27,12:38:44,6,76,SIS B1 IS Lounge,SISB1
27,12:40:46,10,77,SIS B1 IS Lounge,SISB1
27,12:42:48,7,77,SIS B1 IS Lounge,SISB1
27,12:44:50,9,77,SIS B1 IS Lounge,SISB1
27,12:46:52,9,77,SIS B1 IS Lounge,SISB1
27,12:48:55,18,77,SIS B1 IS Lounge,SISB1
27,12:50:56,9,78,SIS B1 IS Lounge,SISB1
27,12:52:59,11,78,SIS B1 IS Lounge,SISB1
27,12:55:00,1,78,SIS B1 IS Lounge,SISB1
27,12:55:01,9,78,SIS B1 IS Lounge,SISB1
27,12:57:03,7,78,SIS B1 IS Lounge,SISB1
27,12:59:05,12,78,SIS B1 IS Lounge,SISB1
27,13:01:07,1,79,SIS B1 IS Lounge,SISB1
27,13:01:08,7,79,SIS B1 IS Lounge,SISB1
27,13:03:10,16,79,SIS B1 IS Lounge,SISB1
27,13:05:12,15,79,SIS B1 IS Lounge,SISB1
27,13:07:14,9,79,SIS B1 IS Lounge,SISB1
27,13:09:17,9,79,SIS B1 IS Lounge,SISB1
27,13:11:19,8,80,SIS B1 IS Lounge,SISB1
27,13:13:21,6,80,SIS B1 IS Lounge,SISB1
27,13:15:23,1,80,SIS B1 IS Lounge,SISB1
27,13:15:24,6,80,SIS B1 IS Lounge,SISB1
27,13:17:26,13,80,SIS B1 IS Lounge,SISB1
27,13:19:29,6,80,SIS B1 IS Lounge,SISB1
27,13:21:31,7,81,SIS B1 IS Lounge,SISB1
27,13:23:33,10,81,SIS B1 IS Lounge,SISB1
27,13:25:35,1,81,SIS B1 IS Lounge,SISB1
27,13:25:36,5,81,SIS B1 IS Lounge,SISB1
27,13:27:38,3,81,SIS B1 IS Lounge,SISB1
27,13:27:39,8,81,SIS B1 IS Lounge,SISB1
27,13:29:40,1,81,SIS B1 IS Lounge,SISB1
27,13:29:41,7,81,SIS B1 IS Lounge,SISB1
27,13:31:42,1,82,SIS B1 IS Lounge,SISB1
27,13:31:43,9,82,SIS B1 IS Lounge,SISB1
27,13:33:46,2,82,SIS B1 IS Lounge,SISB1
27,13:33:47,4,82,SIS B1 IS Lounge,SISB1
27,13:35:48,7,82,SIS B1 IS Lounge,SISB1
27,13:37:50,1,82,SIS B1 IS Lounge,SISB1
27,13:37:51,10,82,SIS B1 IS Lounge,SISB1
27,13:39:53,1,82,SIS B1 IS Lounge,SISB1
27,13:39:54,11,82,SIS B1 IS Lounge,SISB1
27,13:41:56,14,83,SIS B1 IS Lounge,SISB1
27,13:43:59,7,83,SIS B1 IS Lounge,SISB1
27,13:46:03,4,83,SIS B1 IS Lounge,SISB1
27,13:46:04,11,83,SIS B1 IS Lounge,SISB1
27,13:48:04,4,83,SIS B1 IS Lounge,SISB1
